id,content,title,1 - Analytical,1 - Empirical,1 - Hybrid,1 - ML,1 - Analytical - prediction,1 - Empirical - prediction,1 - Hybrid - prediction,1 - ML - prediction,Method
17496,"Evaluation of Building Type Adjacent Structures' Interacted and Single Seismic Performances by Fragility Curves The performance-based analysis for the low-storey building type structures are generally carried out, as those buildings were isolated single standing buildings with no interaction with adjacent buildings. Incorporating the interaction of the adjacent buildings in seismic performance and risk (retrofitting) analysis by using proper modelling techniques seems important by means of obtaining the deviation of the results from the conventional analysis results of isolated single modelled structures. Literature review has been carried out for the following topics; adjacent building models, push-over analysis, earthquake acceleration, time series database analysis and scaled records, time history analysis of equation of motion with Newmark-beta method and fragility curves for building performance levels. The aim of this study is the evaluation of vulnerability risk via fragility curves for seismic performance of adjacent buildings as interacting structures. Results show that interacted and isolated analysis types yields different seismic performance levels. Push-Over analysis  scaled accelograms  fragility curves  time history analysis  adjacent building interaction None",Evaluation of Building Type Adjacent Structures' Interacted and Single Seismic Performances by Fragility Curves,0.0,0.0,0.0,0.0,0.24408407146005726,0.013299352563573206,0.031073947013693343,0.023499854268802554,Analytical
15770,"Assessment of pluvial flood exposure and vulnerability of residential areas Floods are a large problem around the world but the understanding of flood risks is hampered by a lack of data and knowledge about flood losses at different scales. The objective of this study was two-fold 1) to assess available temporally and spatially distributed data of rain events and flood damages during those events, regarding the usefulness of these data to quantify precipitation-related hazards and consequences, and 2) to assess the potential for deriving reliable damage functions based on the information compiled under objective 1. The study examined 2140 individual observations of insurance payouts for residential buildings caused by 49 different rainfall events in Sweden. Radar data were used to extract daily precipitation amounts and to capture the spatial and temporal distribution of the rainfalls. This study demonstrates that including the duration of a rainfall, as opposed to only the aggregated amount of daily precipitation, is highly important in estimating the extent of damage. Furthermore, higher rainfall intensities increased the number of damaged properties but had less influence on the mean damage cost per property. In order to draw conclusions from damages at the micro level, both availability and detail level of data must be improved. Insured flood losses  Flood damage  Pluvial flood damage  Data availability  Flood risk assessment DAMAGE ASSESSMENT  RISK  CLIMATE  UNCERTAINTY  GOVERNANCE  HAZARD",Assessment of pluvial flood exposure and vulnerability of residential areas,0.0,0.0,0.0,0.0,0.06174737744865475,0.2435329493592145,0.03528339351384249,0.021092631584951123,Empirical
20395,"Seismic damage assessment for waffled-slabs reinforced concrete (RC) buildings in Barcelona The seismic damage of waffled-slabs reinforced concrete buildings in the city of Barcelona (Spain) is evaluated using Risk-UE methodology, which enables obtaining fragility curves of the structure in a simplified manner through capacity curves. The seismic hazard is described by means of the reduced 5%-damped elastic response spectrum specific to Barcelona. Capacity curves are obtained using a non-linear static analysis and are used to obtain the performance point and probability damage matrices corresponding to the specified seismic hazard. Four different buildings, representing most typical structure configuration used in the city, are studied based on detailed data from real structures. Despite low-to-moderate seismic hazard in the region, the results show that these buildings present a considerable seismic vulnerability and a relevant expected seismic damage due to its poor expected performance. © 2013 Taylor and Francis Group, LLC. capacity spectra  damage assessment  damage probability matrices (DPM)  fragility curves  reinforced concrete (RC)  seismic behavior  vulnerability  waffled slabs Concrete buildings  Concrete construction  Damage detection  Hazards  Matrix algebra  Seismic response  Structural analysis  Capacity spectrum  Damage assessments  Damage probability matrices  Fragility curves  Seismic behavior  vulnerability  Waffled slabs  Reinforced concrete",Seismic damage assessment for waffled-slabs reinforced concrete (RC) buildings in Barcelona,0.0,0.0,0.0,0.0,0.2684770747417873,0.049181982242140675,0.11100763194433375,0.0062438369915111145,Analytical
19715,"Probabilistic depth–damage curves for assessment of flood-induced building losses The most common and internationally accepted method of assessing building damage due to flooding is through the application of a depth–damage curve (DDC). A DDC relates the percent damage or estimated economic loss to a buildings’ structural integrity and/or contents directly to a given water level (depth). The DDC generally represents an average structure within a given building category, e.g. one-storey single-family residence. Given the great variability across any given structural category, the variation in building materials, construction quality across communities and the singular focus on depth for estimation of losses, it is important to communicate the uncertainty and potential variability of the expected losses in any assessment. In this paper, probabilistic depth–damage curves (PDDCs) are developed based on synthetically derived DDCs from communities in southern Ontario. The generated PDDCs are based on assumed loss thresholds for minor and major loss levels, as spent in Canadian dollars. The economic loss estimates obtained in this way and their likelihood of being exceeded at any given flood depth express more transparently the potential building losses. An applied example of this method is included for both aggregate and building-by-building loss estimation. © 2019, Springer Nature B.V. Building losses  Depth–damage curve  Flood damage  Flood losses assessment method  building  construction material  economic impact  flood damage  flooding  probability  Canada  Ontario [Canada]",Probabilistic depth–damage curves for assessment of flood-induced building losses,0.0,0.0,0.0,0.0,0.19041187669631648,0.9432961988768146,0.009152442335052269,0.013774328887380845,Empirical
21380,"Simplilied buildings fragility functions for regional seismic risk assessment One of the challenges in regional seismic risk assessment studies is to generate a reliable inventory of the exposed buildings. To decrease the potential errors in identification of structural load carrying systems, a simplified building classification scheme is proposed with: one reinforced concrete building class Cs which regroups generic building classes indicated as C1, C2 and C3; and a steel building class Ss combining S1, S2, S4 and S5 generic building classes. Simplified fragility curves (SFC) representative for these combinations were developed by fitting lognormal curves through individual damage estimates for the generic classes. The average absolute deviations measured for each SFC were below 3.6%, which is considerably lower than errors observed in the building inventories, ~20%. Knowing that significant effort is needed to generate accurate regional inventories, this simplified method offers reasonable accurate damage estimates for reduced building classification scheme. © 11th National Conference on Earthquake Engineering 2018, NCEE 2018: Integrating Science, Engineering, and Policy. All rights reserved. None Concrete buildings  Curve fitting  Earthquake engineering  Engineering geology  Reinforced concrete  Seismology  Average absolute deviation  Building inventory  Classification scheme  Fragility function  Individual damages  Potential errors  Seismic risk assessment  Simplified method  Risk assessment",Simplilied buildings fragility functions for regional seismic risk assessment,0.0,0.0,0.0,0.0,0.06107249761992351,0.20196961667570423,0.04518349789736716,0.004488632956302882,Empirical
13208,"Preliminary tsunami analytical fragility functions proposal for Italian coastal residential masonry buildings Scientific community showed particular interest in tsunami risk assessment in the last years due to several worldwide tsunami events where high damages and human casualties were recorded during post-event surveys. This paper investigates the behaviour of Italian coastal residential masonry buildings under tsunami loads. Main fragility curves available in literature are based on empirical databases and consequentially, the structural behaviour is strictly related to local building typologies of other countries. For masonry buildings, it is complex to predict global response due to high material inhomogeneity, especially in the case of regional scale analysis; a critical review on local mechanisms activation of masonry walls under tsunami loads is briefly performed. Therefore, local mechanisms activation for masonry walls are investigated depending on out-of-plane and in-plane mechanisms assuming flexural and shear failure. Structures designed for gravity or seismic loads are generated based on several building classes depending on number of storeys and age of construction. Monte Carlo analyses generated building models for each identified building class to simulate the behaviour of Italian masonry buildings. Preliminary analytical tsunami fragility curves are developed in order to assess the vulnerability of Italian coastal residential masonry buildings under tsunami loads. A critical review is proposed on developed fragility curves. © 2021 Institution of Structural Engineers Analytical fragility curve  Large-scale  Local mechanisms  Masonry structures  Tsunami  Vulnerability assessment None",Preliminary tsunami analytical fragility functions proposal for Italian coastal residential masonry buildings,1.0,0.0,0.0,0.0,,,,,Analytical
21869,"THE SEISMIC RISK ASSESSMENT OF SOME REINFORCED AND MASONRY BUILDINGS IN CONTEXT OF VRANCEA SEISMICITY The objective of the present paper is to present one of the developed methods for the vulnerability assessment of existing buildings and, also, an investigation of some reinforced and masonry buildings under Vrancea earthquake input. Starting from three fundamental concepts, capacity curve, design point and fragility curve, this assessment is made in terms of the seismic demand and the structural capacity and response, taking into account the uncertainty originating in the material properties. In context of Vrancea seismicity, it is important to get more data about the performance of a structure, the real strength of the structure, and about how a structure behaves after exceeding its elastic limits. seismic hazard  pounding  performance of a structure  capacity curve None",THE SEISMIC RISK ASSESSMENT OF SOME REINFORCED AND MASONRY BUILDINGS IN CONTEXT OF VRANCEA SEISMICITY,0.0,0.0,0.0,0.0,0.19641766563598984,0.07785548483956153,0.02917641631620497,0.011222747090488117,Analytical
16666,"Damage models for extreme flood events - Part 1: Modeling and validation based on the 2002 flood [Schadensmodelle für extreme Hochwasser-Teil 1: Modellbildung und Validierung am Hochwasser 2002] Damage models for extreme flood events-Part 1: Modeling and validation based on the 2002 flood The actual 2013 flood events illustrate the importance of the flood protection measures planned and partly already implemented after the 2002 flood. The economic evaluation of these measures in the context of cost-benefit analysis show the demand for development of new resilient damage functions for each usage class. Conventional loss models are limited to the relationship between flood height and the comprehensible cost from the insurance side for a specific usage class (like e. g. private residential buildings). On the one hand the required differentiation according to the parameters on the resistance side is still missing and on the other hand further impact parameters like flow velocity remain unconsidered. Based on the experiences in the earthquake hazard assessment a vulnerability and engineering based flood damage model was developed in different research projects at the Earthquake Damage Analysis Center (EDAC) at the Bauhaus-Universität Weimar. The provided vulnerability functions describe the relationship between flood height, flow velocity and the damage grades Di taking into account the building vulnerability. As well newly developed damage functions transfer these parameters into concrete loss statements. Based on the extensive evaluation of damage data, the flood damage model has been improved in recent years and new vulnerability-and damage functions were implemented. The paper gives again an overview of the elements of the model and introduces the new functions. The functions are validated on the 2002 flood event taken into account improved data bases. The calculation results are compared to the official final recovery costs in the study areas. © 2014 Ernst &amp; Sohn Verlag für Architektur und technische Wissenschaften GmbH &amp; Co. KG, Berlin. damage functions  damage grades  damage scenarios  flood damage  loss estimation  vulnerability classes  vulnerability functions None",Damage models for extreme flood events - Part 1: Modeling and validation based on the 2002 flood [Schadensmodelle für extreme Hochwasser-Teil 1: Modellbildung und Validierung am Hochwasser 2002],0.0,0.0,0.0,0.0,0.0610935915575616,0.22186330328969078,0.053302056285867996,0.006831332889626438,Empirical
12969,"Fragility curves for low- and mid-rise buildings in Malaysia In this paper, a study is presented on development of fragility curve for Malaysian low- and mid-rise buildings that are reinforced concrete and steel moment-resisting frames. Two prototype models, which include three- and six-story frame structures with different types of material, were designed based on Eurocodes. Incremental dynamic analysis (IDA) was conducted under seven sets of ground motion records, and scaling peak ground acceleration increased every 0.05 g until it achieved 0.6 g. The software SAP2000 was used to perform IDA. Five levels of performance based seismic designs, namely, operational phase, immediate occupancy, damage control, life safety, and collapse prevention, were considered to assess structural performance. Seismic fragility curves were developed for structural models with different types of material and height. © 2015 The Authors. Published by Elsevier Ltd. Drift  Fragility curve  Ground motion records  Incremental dynamic analysis  Performance level Dynamic analysis  Reinforced concrete  Seismic design  Seismology  Structural frames  Drift  Fragility curves  Ground motions  Incremental dynamic analysis  Performance level  Structural analysis",Fragility curves for low- and mid-rise buildings in Malaysia,1.0,0.0,0.0,0.0,,,,,Analytical
15589,"Analysis of different earthquake damage scenarios for emergency planning in Italy In this paper substantial improvements of the standard procedure at National Seismic Survey (NSS) for the earthquake damage scenarios are proposed. Methodology and data bases have been modified and a comparison of different earthquake loss estimation models is presented. The main characteristics of the proposed methodology are the following: a scale of resolution including all inhabited places a residential building inventory sorted in structural classes and a binomial distribution of the damage levels empirical fragility curves and damage probability matrices as a function of Peak Ground Acceleration (PGA), Arias Intensity (IA), Effective Peak Acceleration (EPA), MCS Intensity (MCSI) possibility of taking into account the site geological effects. The simulated scenarios have been compared with losses and casualties of several Italian earthquakes, including the last 1997 Umbria-Marche event. None Inventory control  Parameter estimation  Personnel  Risk assessment  Rocks  Seismology  Soils  Emergency planning  Real estates  Residential buildings  Spectral acceleration  Earthquakes",Analysis of different earthquake damage scenarios for emergency planning in Italy,0.0,0.0,0.0,0.0,0.043022089985153125,0.267316504316826,0.047541912291772286,0.005188072988279314,Empirical
